品牌,型号,价格（元）,cpu型号,ram容量（gb）,rom容量（gb）,有线充电速度（w）,电池容量(mAh),屏幕刷新率(hz),屏幕分辨率(p),重量(g),前置（万像素）,后置（万像素）,屏幕尺寸（英寸）
iqoo,iQOO Z8(12GB/512GB),1999,联发科 天玑8200,12,512,120,5000,120,1,200,6400,1600,6.64
iqoo,iQOO 11S（12GB/256GB）,3549,高通 骁龙8 Gen2,12,256,200,4700,144,2,209.5,5000,1600,6.78
iqoo,iQOO 11S（16GB/256GB）,3849,高通 骁龙8 Gen2,16,256,200,4700,144,2,209.5,5000,1600,6.78
iqoo,iQOO 11S（16GB/512GB）,4149,高通 骁龙8 Gen2,16,512,200,4700,144,2,209.5,5000,1600,6.78
iqoo,iQOO 11S（16GB/1TB）,4549,高通 骁龙8 Gen2,16,1024,200,4700,144,2,209.5,5000,1600,6.78
iqoo,iQOO Neo8 Pro（16GB/256GB）,2899,联发科 天玑9200+,16,256,120,5000,144,1,192.3,5000,1600,6.78
iqoo,iQOO Neo8 Pro（16GB/512GB）,3099,联发科 天玑9200+,16,512,120,5000,144,1,192.3,5000,1600,6.78
iqoo,iQOO Neo8 Pro（16GB/1TB）,3399,联发科 天玑9200+,16,1024,120,5000,144,1,192.3,5000,1600,6.78
iqoo,iQOO Neo8（12GB/256GB）,2199,高通 Areno 730,12,256,120,5000,144,1,189.5,5000,1600,6.78
iqoo,iQOO Neo8（12GB/512GB）,2499,高通 Areno 730,12,512,120,5000,144,1,189.5,5000,1600,6.78
iqoo,iQOO Neo8（16GB/512GB）,2699,高通 Areno 730,16,1024,120,5000,144,1,189.5,5000,1600,6.78
iqoo,iQOO Z8x（8GB/128GB）,1199,高通 骁龙6 Gen1,8,128,44,6000,120,1,199.6,5000,800,6.64
iqoo,iQOO Z8x（8GB/256GB）,1299,高通 骁龙6 Gen1,8,256,44,6000,120,1,199.6,5000,800,6.64
iqoo,iQOO Z8x（12GB/256GB）,1499,高通 骁龙6 Gen1,12,256,44,6000,120,1,199.6,5000,800,6.64
iqoo,iQOO Z7（8GB/128GB）,1325,高通 骁龙782G,8,128,120,5000,120,1,201.5,6400,1600,6.64
iqoo,iQOO Z7（8GB/256GB）,1479,高通 骁龙782G,8,256,120,5000,120,1,201.5,6400,1600,6.64
iqoo,iQOO Z7（12GB/256GB）,1698,高通 骁龙782G,12,256,120,5000,120,1,201.5,6400,1600,6.64
iqoo,iQOO Z7x（6GB/128GB）,999,高通 骁龙 695,6,128,80,6000,120,1,205,5000,800,6.64
iqoo,iQOO Z7x（8GB/128GB）,1105,高通 骁龙 695,8,128,80,6000,120,1,205,5000,800,6.64
iqoo,iQOO Z7x（8GB/256GB）,1190,高通 骁龙 695,8,256,80,6000,120,1,205,5000,800,6.64
iqoo,iQOO Neo7 竞速版（8GB/256GB）,2499,高通 骁龙8+ Gen1,8,256,120,5000,120,1,202,5000,1600,6.78
iqoo,iQOO Neo7 竞速版（12GB/256GB）,2799,高通 骁龙8+ Gen1,12,256,120,5000,120,1,202,5000,1600,6.78
iqoo,iQOO Neo7 竞速版（16GB/256GB）,2999,高通 骁龙8+ Gen1,16,256,120,5000,120,1,202,5000,1600,6.78
